               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.06227,            0.076169,                   0,             0.52722,                0.75,             0.65335,             0.25435,            0.053947,            0.046736,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.061078,            0.074982,                   0,             0.64861,             0.70455,             0.77727,             0.38504,            0.048844,            0.043463,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.051327,               0.063,                   0,             0.64861,             0.70455,             0.77727,             0.38504,            0.048844,            0.043463,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.05322,            0.070945,                   0,             0.59331,             0.70455,             0.70365,             0.30875,            0.050648,            0.044928,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.053757,            0.066763,                   0,             0.63912,             0.84527,             0.77697,             0.26831,            0.052011,            0.044437,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.055812,            0.071731,                   0,             0.60582,             0.62875,             0.66434,             0.28156,            0.048708,            0.044825,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.05291,            0.073548,                   0,             0.60582,             0.62875,             0.66434,             0.28156,            0.048708,            0.044825,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.047568,            0.072497,                   0,             0.67549,             0.70455,             0.81602,             0.43998,            0.041415,            0.042486,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.047343,            0.064258,                   0,             0.60327,             0.76136,             0.73516,             0.32598,            0.055217,              0.0455,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.055778,            0.063073,                   0,             0.85414,             0.79545,             0.87217,             0.42587,            0.041843,            0.041534,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.048333,            0.066942,                   0,             0.85414,             0.79545,             0.87217,             0.42587,            0.041843,            0.041534,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.047389,            0.074647,                   0,             0.77141,              0.8437,             0.84587,             0.45205,            0.042956,            0.041164,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.048508,            0.075496,                   0,             0.63303,             0.71591,             0.77767,             0.37791,            0.043071,            0.042747,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.047716,            0.056633,                   0,             0.92639,             0.86364,             0.93763,             0.35716,             0.04482,            0.042007,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.048515,            0.058661,                   0,             0.92639,             0.86364,             0.93763,             0.35716,             0.04482,            0.042007,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.04205,             0.07002,                   0,             0.82986,             0.89773,             0.93014,             0.43359,            0.037661,            0.042618,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.044314,             0.06866,                   0,             0.58352,             0.78018,             0.69312,             0.27481,            0.050909,            0.044985,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.052155,            0.074133,                   0,             0.89464,             0.96494,             0.95749,             0.50143,            0.036582,            0.042011,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.040783,            0.068596,                   0,             0.89464,             0.96494,             0.95749,             0.50143,            0.036582,            0.042011,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.03978,            0.067726,                   0,             0.70525,             0.92045,             0.83371,             0.43302,            0.037517,            0.042282,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.043369,            0.063816,                   0,             0.86609,             0.90909,             0.93558,             0.36499,            0.043922,            0.041302,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.049369,            0.069475,                   0,             0.87196,             0.98864,             0.95469,              0.5206,             0.03644,            0.038986,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.040547,            0.062295,                   0,             0.87196,             0.98864,             0.95469,              0.5206,             0.03644,            0.038986,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.03781,            0.059437,                   0,             0.89385,             0.96591,             0.95019,             0.52351,            0.036292,            0.038691,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.040263,            0.067708,                   0,             0.88688,             0.92045,             0.93996,             0.49713,            0.038178,            0.039375,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.045254,            0.065132,                   0,             0.90346,             0.92045,             0.94631,             0.48054,            0.036509,            0.039652,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.038123,            0.047717,                   0,             0.90346,             0.92045,             0.94631,             0.48054,            0.036509,            0.039652,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.036674,            0.063325,                   0,             0.93382,             0.96203,             0.95573,             0.51836,            0.035144,            0.039568,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.039384,             0.06838,                   0,             0.92024,             0.97727,             0.96746,             0.53548,             0.03587,            0.039927,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.039322,            0.067273,                   0,             0.88408,             0.96591,             0.95516,             0.56607,            0.032605,            0.038921,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.03649,             0.06289,                   0,             0.88408,             0.96591,             0.95516,             0.56607,            0.032605,            0.038921,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.036122,            0.062897,                   0,             0.94523,             0.96591,              0.9777,             0.58982,            0.030188,            0.038824,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.036124,            0.054351,                   0,             0.93755,             0.95455,             0.97189,             0.53511,            0.033542,            0.039234,                   0,            0.003169,            0.003169,            0.003169
